crash_date,crash_time,borough,on_street,cross_street,contributing_factor,vehicle_type,persons_injured,persons_killed,lat,lon
2022-01-12,20:34:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,0,0,40.668743,-73.91049
2022-04-05,15:10:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,0,0,40.6691,-73.909615
2022-03-01,19:45:00,BROOKLYN,BOYLAND STREET,PITKIN AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.669262,-73.91356
2022-06-22,09:12:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.66977,-73.910126
2022-07-07,14:57:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Box Truck,0,0,40.670082,-73.90812
2022-09-30,07:10:00,BROOKLYN,Unknown,Unknown,Alcohol Involvement,Sedan,0,0,40.670624,-73.91097
2022-08-04,14:32:00,BROOKLYN,PITKIN AVENUE,POWELL STREET,Driver Inattention/Distraction,Sedan,0,0,40.67066,-73.904205
2022-11-02,18:00:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.6714,-73.91117
2022-09-03,20:55:00,BROOKLYN,ROCKAWAY AVENUE,EAST NEW YORK AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.672073,-73.91135
2022-09-06,20:15:00,BROOKLYN,ROCKAWAY AVENUE,EAST NEW YORK AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,2,0,40.672073,-73.91135
2022-08-23,09:00:00,BROOKLYN,LIBERTY AVENUE,CHRISTOPHER AVENUE,Unspecified,Sedan,0,0,40.67289,-73.906685
2022-03-22,14:30:00,BROOKLYN,EAST NEW YORK AVENUE,SAINT MARKS AVENUE,Unspecified,Sedan,1,0,40.672947,-73.90926
2022-10-11,20:27:00,BROOKLYN,LIBERTY AVENUE,SACKMAN STREET,Failure to Yield Right-of-Way,Bike,1,0,40.673027,-73.90576
2022-06-13,10:00:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,3,0,40.673443,-73.907845
2022-09-12,20:22:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.66352,-73.93269
2022-10-05,18:25:00,BROOKLYN,EAST NEW YORK AVENUE,FORD STREET,Driver Inattention/Distraction,Sedan,0,0,40.6643,-73.92918
2022-07-31,21:30:00,BROOKLYN,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.664597,-73.936386
2022-06-17,17:00:00,BROOKLYN,UTICA AVENUE,PRESIDENT STREET,Passing or Lane Usage Improper,Sedan,1,0,40.667015,-73.9313
2022-01-24,23:00:00,BROOKLYN,UTICA AVENUE,PRESIDENT STREET,Driver Inattention/Distraction,Taxi,1,0,40.667015,-73.9313
2022-07-25,15:47:00,BROOKLYN,PRESIDENT STREET,UTICA AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.667015,-73.9313
2022-09-30,17:50:00,BROOKLYN,UNION STREET,UTICA AVENUE,Aggressive Driving/Road Rage,Sedan,0,0,40.667824,-73.93122
2022-03-10,10:05:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.667908,-73.92844
2022-06-19,03:10:00,BROOKLYN,SCHENECTADY AVENUE,UNION STREET,Driver Inattention/Distraction,Sedan,0,0,40.667976,-73.93399
2022-05-29,08:30:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.668,-73.93457
2022-10-22,22:50:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.66843,-73.94165
2022-04-18,00:27:00,BROOKLYN,BUFFALO AVENUE,EASTERN PARKWAY,Driver Inattention/Distraction,Sedan,0,0,40.668507,-73.92561
2022-06-19,11:30:00,BROOKLYN,BUFFALO AVENUE,EASTERN PARKWAY,Driver Inattention/Distraction,Sedan,0,0,40.668507,-73.92561
2022-12-14,01:14:00,BROOKLYN,EASTERN PARKWAY,UTICA AVENUE,Passing or Lane Usage Improper,Sedan,0,0,40.668797,-73.93113
2022-11-25,15:00:00,BROOKLYN,UTICA AVENUE,EASTERN PARKWAY,Unspecified,Sedan,0,0,40.668797,-73.93113
2022-06-05,22:20:00,BROOKLYN,UTICA AVENUE,EASTERN PARKWAY,Traffic Control Disregarded,Sedan,0,0,40.668797,-73.93113
2022-05-06,20:25:00,BROOKLYN,SCHENECTADY AVENUE,EASTERN PARKWAY,Pavement Slippery,Sedan,1,0,40.66895,-73.9339
2022-10-23,18:29:00,BROOKLYN,EASTERN PARKWAY,SCHENECTADY AVENUE,Unsafe Speed,PK,0,1,40.66895,-73.9339
2022-07-20,19:45:00,BROOKLYN,EASTERN PARKWAY,TROY AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.669098,-73.93666
